Taille,Test,CPU,Mem,Action,Structure
2606000,1,1.26,134716,insert,arraylist
2606000,1,6.61,185704,insert,linkedlist
2606000,1,1.15,124076,insert,vector
1907800,1,1.10,120412,removeValue_first,arraylist
1907800,1,6.71,155432,removeValue_first,linkedlist
1907800,1,0.96,113788,removeValue_first,vector
2311100,1,1.26,138684,removeValue_middle,arraylist
2311100,1,6.48,175868,removeValue_middle,linkedlist
2311100,1,1.12,121508,removeValue_middle,vector
2973600,1,1.49,162396,removeValue_last,arraylist
2973600,1,15.01,232768,removeValue_last,linkedlist
2973600,1,1.46,158832,removeValue_last,vector
1061700,1,0.37,72572,changeValue_first,arraylist
1061700,1,2.80,101728,changeValue_first,linkedlist
1061700,1,0.35,70484,changeValue_first,vector
2345000,1,1.19,136684,changeValue_middle,arraylist
2345000,1,6.26,171352,changeValue_middle,linkedlist
2345000,1,1.09,125220,changeValue_middle,vector
349600,1,0.24,50108,changeValue_last,arraylist
349600,1,0.21,54120,changeValue_last,linkedlist
349600,1,0.24,51804,changeValue_last,vector
1008900,1,0.34,70892,getValue_first,arraylist
1008900,1,2.81,101260,getValue_first,linkedlist
1008900,1,0.35,68312,getValue_first,vector
2907800,1,1.52,159392,getValue_middle,arraylist
2907800,1,16.72,234532,getValue_middle,linkedlist
2907800,1,1.36,156864,getValue_middle,vector
1325900,1,0.42,91224,getValue_last,arraylist
1325900,1,4.03,114340,getValue_last,linkedlist
1325900,1,0.46,82920,getValue_last,vector
3125800,2,1.62,161340,insert,arraylist
3125800,2,16.80,230560,insert,linkedlist
3125800,2,1.54,152948,insert,vector
3123800,2,1.55,164636,removeValue_first,arraylist
3123800,2,15.82,232584,removeValue_first,linkedlist
3123800,2,1.57,152748,removeValue_first,vector
2358100,2,1.22,138584,removeValue_middle,arraylist
2358100,2,6.71,177940,removeValue_middle,linkedlist
2358100,2,1.04,122320,removeValue_middle,vector
3146200,2,1.48,161244,removeValue_last,arraylist
3146200,2,16.55,232360,removeValue_last,linkedlist
3146200,2,1.45,152824,removeValue_last,vector
1591500,2,0.91,109996,changeValue_first,arraylist
1591500,2,5.06,129556,changeValue_first,linkedlist
1591500,2,0.78,109668,changeValue_first,vector
794300,2,0.30,64752,changeValue_middle,arraylist
794300,2,2.15,96448,changeValue_middle,linkedlist
794300,2,0.30,65636,changeValue_middle,vector
212600,2,0.21,47396,changeValue_last,arraylist
212600,2,0.20,47576,changeValue_last,linkedlist
212600,2,0.20,47908,changeValue_last,vector
2570700,2,1.19,132576,getValue_first,arraylist
2570700,2,6.23,179628,getValue_first,linkedlist
2570700,2,1.08,124024,getValue_first,vector
2033900,2,1.12,132336,getValue_middle,arraylist
2033900,2,6.49,161948,getValue_middle,linkedlist
2033900,2,0.90,113740,getValue_middle,vector
1795200,2,0.97,113816,getValue_last,arraylist
1795200,2,4.98,127508,getValue_last,linkedlist
1795200,2,0.89,109764,getValue_last,vector
6400,3,0.17,40780,insert,arraylist
6400,3,0.16,42836,insert,linkedlist
6400,3,0.15,42888,insert,vector
159800,3,0.20,43400,removeValue_first,arraylist
159800,3,0.20,43460,removeValue_first,linkedlist
159800,3,0.22,45588,removeValue_first,vector
2622300,3,1.36,132672,removeValue_middle,arraylist
2622300,3,6.60,188312,removeValue_middle,linkedlist
2622300,3,1.21,142568,removeValue_middle,vector
352200,3,0.22,49648,removeValue_last,arraylist
352200,3,0.24,56100,removeValue_last,linkedlist
352200,3,0.24,53152,removeValue_last,vector
1535600,3,0.84,112248,changeValue_first,arraylist
1535600,3,4.94,126996,changeValue_first,linkedlist
1535600,3,0.78,109820,changeValue_first,vector
830600,3,0.36,72800,changeValue_middle,arraylist
830600,3,2.16,89900,changeValue_middle,linkedlist
830600,3,0.31,70576,changeValue_middle,vector
809900,3,0.32,68692,changeValue_last,arraylist
809900,3,2.20,94404,changeValue_last,linkedlist
809900,3,0.33,62304,changeValue_last,vector
1677600,3,0.89,110164,getValue_first,arraylist
1677600,3,4.84,133340,getValue_first,linkedlist
1677600,3,0.79,109776,getValue_first,vector
3101600,3,1.49,159260,getValue_middle,arraylist
3101600,3,15.75,232808,getValue_middle,linkedlist
