Taille,Test,CPU,Mem,Action,Structure
16663000,1,9.05,643232,insert,arraylist
16663000,1,7.49,551144,insert,vector
20870000,1,11.25,838276,removeValue_first,arraylist
20870000,1,9.35,710688,removeValue_first,vector
26290000,1,13.09,954436,removeValue_middle,arraylist
26290000,1,12.37,882808,removeValue_middle,vector
14435000,1,8.66,615940,removeValue_last,arraylist
14435000,1,7.24,523736,removeValue_last,vector
5633000,1,2.72,251024,changeValue_first,arraylist
5633000,1,2.36,251392,changeValue_first,vector
12054000,1,5.79,426296,changeValue_middle,arraylist
12054000,1,6.39,452928,changeValue_middle,vector
24184000,1,11.84,849488,changeValue_last,arraylist
24184000,1,11.31,886376,changeValue_last,vector
17052000,1,9.37,651036,getValue_first,arraylist
17052000,1,7.51,568656,getValue_first,vector
6723000,1,3.73,311016,getValue_middle,arraylist
6723000,1,2.44,270080,getValue_middle,vector
18133000,1,9.70,669152,getValue_last,arraylist
18133000,1,7.94,582956,getValue_last,vector
30476000,2,13.39,953620,insert,arraylist
30476000,2,12.65,970784,insert,vector
29969000,2,13.85,954720,removeValue_first,arraylist
29969000,2,11.97,917872,removeValue_first,vector
27083000,2,13.00,942292,removeValue_middle,arraylist
27083000,2,11.22,915712,removeValue_middle,vector
11531000,2,5.73,442864,removeValue_last,arraylist
11531000,2,6.18,450892,removeValue_last,vector
15428000,2,8.94,630760,changeValue_first,arraylist
15428000,2,7.25,541948,changeValue_first,vector
10596000,2,4.78,377300,changeValue_middle,arraylist
10596000,2,5.82,451728,changeValue_middle,vector
27775000,2,13.28,951240,changeValue_last,arraylist
27775000,2,11.88,884424,changeValue_last,vector
8731000,2,4.34,342052,getValue_first,arraylist
8731000,2,3.12,313180,getValue_first,vector
19406000,2,9.39,692452,getValue_middle,arraylist
19406000,2,7.53,606552,getValue_middle,vector
29811000,2,13.02,945596,getValue_last,arraylist
29811000,2,12.41,909784,getValue_last,vector
26626000,3,13.11,951392,insert,arraylist
26626000,3,11.52,906976,insert,vector
25439000,3,11.75,849392,removeValue_first,arraylist
25439000,3,12.44,884180,removeValue_first,vector
32198000,3,15.57,1170356,removeValue_middle,arraylist
32198000,3,13.09,982192,removeValue_middle,vector
24945000,3,11.52,839796,removeValue_last,arraylist
24945000,3,9.87,890368,removeValue_last,vector
24202000,3,11.46,852644,changeValue_first,arraylist
24202000,3,11.83,886708,changeValue_first,vector
25133000,3,11.76,847072,changeValue_middle,arraylist
25133000,3,11.23,905524,changeValue_middle,vector
5103000,3,2.91,246024,changeValue_last,arraylist
