Taille,Test,CPU,Mem,Action,Structure
26929000,1,12.95,949260,insert,arraylist
26929000,1,11.85,907384,insert,vector
17392000,1,9.69,656500,removeValue_first,arraylist
17392000,1,9.10,622300,removeValue_first,vector
22246000,1,11.31,855556,removeValue_middle,arraylist
22246000,1,11.53,885616,removeValue_middle,vector
11689000,1,5.55,435672,removeValue_last,arraylist
11689000,1,4.42,411956,removeValue_last,vector
23399000,1,11.28,848776,changeValue_first,arraylist
23399000,1,11.46,878868,changeValue_first,vector
27020000,1,12.85,955856,changeValue_middle,arraylist
27020000,1,11.85,886924,changeValue_middle,vector
26744000,1,12.53,949436,changeValue_last,arraylist
26744000,1,11.96,894408,changeValue_last,vector
20652000,1,8.21,772396,getValue_first,arraylist
20652000,1,9.16,673904,getValue_first,vector
30237000,1,13.55,948192,getValue_middle,arraylist
30237000,1,11.99,963956,getValue_middle,vector
12475000,1,5.63,442544,getValue_last,arraylist
12475000,1,4.89,467100,getValue_last,vector
29122000,2,13.36,958760,insert,arraylist
29122000,2,11.67,909708,insert,vector
30793000,2,14.24,957644,removeValue_first,arraylist
30793000,2,12.32,910600,removeValue_first,vector
31027000,2,13.47,953556,removeValue_middle,arraylist
31027000,2,13.91,967012,removeValue_middle,vector
28367000,2,13.25,947592,removeValue_last,arraylist
28367000,2,12.91,944012,removeValue_last,vector
28646000,2,13.23,950160,changeValue_first,arraylist
28646000,2,13.31,929048,changeValue_first,vector
14783000,2,9.47,610896,changeValue_middle,arraylist
14783000,2,5.49,468228,changeValue_middle,vector
19151000,2,9.44,686460,changeValue_last,arraylist
19151000,2,8.88,653240,changeValue_last,vector
13590000,2,5.62,419724,getValue_first,arraylist
13590000,2,5.16,474272,getValue_first,vector
20392000,2,10.52,729936,getValue_middle,arraylist
20392000,2,9.13,667624,getValue_middle,vector
15581000,2,9.52,632568,getValue_last,arraylist
15581000,2,5.30,470448,getValue_last,vector
29481000,3,13.23,954300,insert,arraylist
29481000,3,11.56,893608,insert,vector
