Size	Operation	OpSize	Type	Time	Mem
1000	add	1000	ArrayList	0.93	87028
1000	add	1000	LinkedList	0.88	93328
1000	add	1000	Set	0.90	87844
1000	add	25000	ArrayList	0.95	91992
1000	add	25000	LinkedList	0.88	86288
1000	add	25000	Set	0.91	90628
1000	add	50000	ArrayList	0.92	94888
1000	add	50000	LinkedList	0.91	93708
1000	add	50000	Set	1.02	94576
1000	contains	1000	ArrayList	0.96	89116
1000	contains	1000	LinkedList	0.90	92328
1000	contains	1000	Set	1.02	91140
1000	contains	25000	ArrayList	0.93	88524
1000	contains	25000	LinkedList	0.98	89852
1000	contains	25000	Set	0.92	89824
1000	contains	50000	ArrayList	0.95	92316
1000	contains	50000	LinkedList	1.02	91440
1000	contains	50000	Set	0.90	91272
1000	remove	1000	ArrayList	0.90	89704
1000	remove	1000	LinkedList	0.97	88716
1000	remove	1000	Set	0.91	89392
1000	remove	25000	ArrayList	0.90	90160
1000	remove	25000	LinkedList	0.95	92520
1000	remove	25000	Set	0.97	89600
1000	remove	50000	ArrayList	1.08	90620
1000	remove	50000	LinkedList	1.03	88324
1000	remove	50000	Set	0.90	91848
25000	add	1000	ArrayList	0.88	89304
25000	add	1000	LinkedList	0.90	92640
25000	add	1000	Set	0.89	87992
25000	add	25000	ArrayList	0.93	93720
25000	add	25000	LinkedList	0.96	91176
25000	add	25000	Set	0.91	94116
25000	add	50000	ArrayList	0.93	94580
25000	add	50000	LinkedList	1.00	92932
25000	add	50000	Set	0.93	92736
25000	contains	1000	ArrayList	0.95	91948
25000	contains	1000	LinkedList	1.00	89352
25000	contains	1000	Set	0.90	89784
25000	contains	25000	ArrayList	1.33	90492
25000	contains	25000	LinkedList	2.29	91432
25000	contains	25000	Set	0.93	91036
25000	contains	50000	ArrayList	1.81	92740
25000	contains	50000	LinkedList	3.63	88052
25000	contains	50000	Set	0.94	90860
25000	remove	1000	ArrayList	0.97	92996
25000	remove	1000	LinkedList	0.95	88312
25000	remove	1000	Set	0.92	94144
25000	remove	25000	ArrayList	1.31	89292
25000	remove	25000	LinkedList	2.25	88872
25000	remove	25000	Set	0.91	95652
25000	remove	50000	ArrayList	1.70	90044
25000	remove	50000	LinkedList	3.61	93132
25000	remove	50000	Set	0.92	88464
50000	add	1000	ArrayList	0.91	94044
50000	add	1000	LinkedList	0.93	95768
50000	add	1000	Set	0.98	92508
50000	add	25000	ArrayList	0.90	91480
50000	add	25000	LinkedList	0.89	89736
50000	add	25000	Set	0.91	94200
50000	add	50000	ArrayList	0.99	88668
50000	add	50000	LinkedList	0.92	94516
50000	add	50000	Set	0.97	97752
50000	contains	1000	ArrayList	0.94	91624
50000	contains	1000	LinkedList	1.07	97204
50000	contains	1000	Set	0.94	96764
50000	contains	25000	ArrayList	1.78	91456
50000	contains	25000	LinkedList	3.83	94736
50000	contains	25000	Set	0.97	93664
50000	contains	50000	ArrayList	2.62	92800
50000	contains	50000	LinkedList	6.97	91704
50000	contains	50000	Set	0.96	95468
50000	remove	1000	ArrayList	1.04	91320
50000	remove	1000	LinkedList	1.05	92756
50000	remove	1000	Set	0.92	95780
50000	remove	25000	ArrayList	1.75	89916
50000	remove	25000	LinkedList	3.93	95636
50000	remove	25000	Set	0.97	96364
50000	remove	50000	ArrayList	2.56	92208
50000	remove	50000	LinkedList	6.87	95860
50000	remove	50000	Set	0.96	94464
